时间,欧元兑美元
1978-10-30,1.52
1978-10-31,1.5117
1978-11-01,1.4374
1978-11-02,1.4176
1978-11-03,1.4047
1978-11-06,1.3978
1978-11-07,1.3996
1978-11-08,1.4108
1978-11-09,1.4096
1978-11-10,1.4055
1978-11-13,1.412
1978-11-14,1.4049
1978-11-15,1.4004
1978-11-16,1.3889
1978-11-17,1.3818
1978-11-20,1.3719
1978-11-21,1.3793
1978-11-22,1.378
1978-11-23,1.381
1978-11-24,1.378
1978-11-27,1.3734
1978-11-28,1.3761
1978-11-29,1.3801
1978-11-30,1.3765
1978-12-01,1.3774
1978-12-04,1.3776
1978-12-05,1.3799
1978-12-06,1.3818
1978-12-07,1.3806
1978-12-08,1.3841
1978-12-11,1.392
1978-12-12,1.3893
1978-12-13,1.3868
1978-12-14,1.3932
1978-12-15,1.3965
1978-12-18,1.4209
1978-12-19,1.4341
1978-12-20,1.4355
1978-12-21,1.419
1978-12-22,1.4213
1978-12-27,1.4436
1978-12-28,1.4376
1978-12-29,1.4455
1979-01-02,1.4503
1979-01-03,1.4259
1979-01-04,1.4251
1979-01-05,1.4282
1979-01-08,1.4333
1979-01-09,1.4329
1979-01-10,1.4253
1979-01-11,1.4229
1979-01-12,1.4193
1979-01-15,1.4193
1979-01-16,1.4253
1979-01-17,1.4296
1979-01-18,1.4353
1979-01-19,1.4304
1979-01-22,1.43
1979-01-23,1.4267
1979-01-24,1.4298
1979-01-25,1.4211
1979-01-26,1.4239
1979-01-29,1.4182
1979-01-30,1.418
1979-01-31,1.4138
1979-02-01,1.4035
1979-02-02,1.4023
1979-02-05,1.4158
1979-02-06,1.418
1979-02-07,1.4316
1979-02-08,1.4274
1979-02-09,1.4278
1979-02-12,1.4253
1979-02-13,1.4197
1979-02-14,1.4211
1979-02-15,1.4231
1979-02-16,1.4221
1979-02-19,1.4209
1979-02-20,1.4211
1979-02-21,1.4201
1979-02-22,1.4229
1979-02-23,1.4231
1979-02-26,1.4263
1979-02-27,1.4235
1979-02-28,1.4233
1979-03-01,1.4209
1979-03-02,1.419
1979-03-05,1.4178
1979-03-06,1.4193
1979-03-07,1.4229
1979-03-08,1.4237
1979-03-09,1.4221
1979-03-12,1.4203
1979-03-13,1.4168
1979-03-14,1.419
1979-03-15,1.4186
1979-03-16,1.416
1979-03-19,1.4168
1979-03-20,1.4176
1979-03-21,1.414
1979-03-22,1.418
1979-03-23,1.4162
1979-03-26,1.4205
1979-03-27,1.4178
1979-03-28,1.4182
1979-03-29,1.4156
1979-03-30,1.4158
1979-04-02,1.4083
1979-04-03,1.4077
1979-04-04,1.4079
1979-04-05,1.4061
1979-04-06,1.4023
1979-04-09,1.3955
1979-04-10,1.3968
1979-04-11,1.4002
1979-04-12,1.3935
1979-04-17,1.3939
1979-04-18,1.398
1979-04-19,1.4019
1979-04-20,1.3932
1979-04-23,1.3957
1979-04-24,1.3982
1979-04-25,1.4
1979-04-26,1.3996
1979-04-27,1.4015
1979-04-30,1.3976
1979-05-01,1.3984
1979-05-02,1.3967
1979-05-03,1.3965
1979-05-04,1.3961
1979-05-08,1.398
1979-05-09,1.3974
1979-05-10,1.3953
1979-05-11,1.3951
1979-05-14,1.3937
1979-05-15,1.3901
1979-05-16,1.3901
1979-05-17,1.3866
1979-05-18,1.3803
1979-05-21,1.3786
1979-05-22,1.3795
1979-05-23,1.3801
1979-05-24,1.3833
1979-05-25,1.3805
1979-05-29,1.3774
1979-05-30,1.382
1979-05-31,1.3864
1979-06-01,1.3816
1979-06-04,1.3841
1979-06-05,1.3839
1979-06-06,1.3824
1979-06-07,1.3837
1979-06-08,1.3847
1979-06-11,1.3841
1979-06-12,1.3826
1979-06-13,1.386
1979-06-14,1.387
1979-06-15,1.3967
1979-06-18,1.3978
1979-06-19,1.4094
1979-06-20,1.4146
1979-06-21,1.4172
1979-06-22,1.4229
1979-06-25,1.4316
1979-06-26,1.4239
1979-06-27,1.4278
1979-06-28,1.4278
1979-06-29,1.4292
1979-07-02,1.4306
1979-07-03,1.429
1979-07-04,1.4351
1979-07-05,1.4395
1979-07-06,1.4355
1979-07-09,1.4312
1979-07-10,1.4339
1979-07-11,1.4407
1979-07-12,1.4395
1979-07-13,1.4374
1979-07-16,1.444
1979-07-17,1.4518
1979-07-18,1.4571
