时间,欧元兑美元
1975-01-03,1.3184
1975-01-06,1.3291
1975-01-07,1.3316
1975-01-08,1.3238
1975-01-09,1.3243
1975-01-10,1.3273
1975-01-13,1.3263
1975-01-14,1.3179
1975-01-15,1.3224
1975-01-16,1.3252
1975-01-17,1.3268
1975-01-20,1.3328
1975-01-21,1.3357
1975-01-22,1.3484
1975-01-23,1.3506
1975-01-24,1.3543
1975-01-27,1.3654
1975-01-28,1.3593
1975-01-29,1.3461
1975-01-30,1.3481
1975-01-31,1.3472
1975-02-03,1.3423
1975-02-04,1.3301
1975-02-05,1.331
1975-02-06,1.3342
1975-02-07,1.3374
1975-02-10,1.3439
1975-02-11,1.3445
1975-02-12,1.3464
1975-02-13,1.3545
1975-02-14,1.3547
1975-02-17,1.3585
1975-02-18,1.3576
1975-02-19,1.3559
1975-02-20,1.3631
1975-02-21,1.3641
1975-02-24,1.3733
1975-02-25,1.3691
1975-02-26,1.3782
1975-02-27,1.3841
1975-02-28,1.3847
1975-03-03,1.3862
1975-03-04,1.3787
1975-03-05,1.3801
1975-03-06,1.3744
1975-03-07,1.3615
1975-03-10,1.3622
1975-03-11,1.3719
1975-03-12,1.3628
1975-03-13,1.3644
1975-03-14,1.3682
1975-03-17,1.3687
1975-03-18,1.374
1975-03-19,1.3776
1975-03-20,1.3729
1975-03-21,1.3686
1975-03-24,1.3648
1975-03-25,1.3631
1975-03-26,1.36
1975-03-27,1.3561
1975-04-01,1.3604
1975-04-02,1.3607
1975-04-03,1.3559
1975-04-04,1.3455
1975-04-07,1.3463
1975-04-08,1.3504
1975-04-09,1.3497
1975-04-10,1.341
1975-04-11,1.3425
1975-04-14,1.3385
1975-04-15,1.3434
1975-04-16,1.3448
1975-04-17,1.3454
1975-04-18,1.3459
1975-04-21,1.3439
1975-04-22,1.3464
1975-04-23,1.3552
1975-04-24,1.3536
1975-04-25,1.3481
1975-04-28,1.345
1975-04-29,1.3503
1975-04-30,1.3525
1975-05-01,1.353
1975-05-02,1.3504
1975-05-05,1.3554
1975-05-06,1.3567
1975-05-07,1.3613
1975-05-08,1.3682
1975-05-09,1.3648
1975-05-12,1.3641
1975-05-13,1.3755
1975-05-14,1.3723
1975-05-15,1.3618
1975-05-16,1.3643
1975-05-19,1.368
1975-05-20,1.3676
1975-05-21,1.3751
1975-05-22,1.3786
1975-05-23,1.3776
1975-05-27,1.3784
1975-05-28,1.3791
1975-05-29,1.3748
1975-05-30,1.3708
1975-06-02,1.3714
1975-06-03,1.3767
1975-06-04,1.3742
1975-06-05,1.3746
1975-06-06,1.3731
1975-06-09,1.3712
1975-06-10,1.3734
1975-06-11,1.3765
1975-06-12,1.3774
1975-06-13,1.3757
1975-06-16,1.3778
1975-06-17,1.3789
1975-06-18,1.3753
1975-06-19,1.374
1975-06-20,1.3748
1975-06-23,1.3716
1975-06-24,1.371
1975-06-25,1.3719
1975-06-26,1.3702
1975-06-27,1.3663
1975-06-30,1.3622
1975-07-01,1.3576
1975-07-02,1.3461
1975-07-03,1.3441
1975-07-04,1.3425
1975-07-07,1.3358
1975-07-08,1.3392
1975-07-09,1.3407
1975-07-10,1.3314
1975-07-11,1.3243
1975-07-14,1.3189
1975-07-15,1.3187
1975-07-16,1.3077
1975-07-17,1.3026
1975-07-18,1.2969
1975-07-21,1.2903
1975-07-22,1.292
1975-07-23,1.2791
1975-07-24,1.2786
1975-07-25,1.2816
1975-07-28,1.2728
1975-07-29,1.2689
1975-07-30,1.2649
1975-07-31,1.2637
1975-08-01,1.2636
1975-08-04,1.2642
1975-08-05,1.2705
1975-08-06,1.2657
1975-08-07,1.258
1975-08-08,1.2596
1975-08-11,1.2572
1975-08-12,1.2571
1975-08-13,1.2585
1975-08-14,1.2606
1975-08-15,1.2615
1975-08-18,1.2634
1975-08-19,1.2687
1975-08-20,1.2663
1975-08-21,1.266
1975-08-22,1.2645
1975-08-26,1.2609
1975-08-27,1.2604
1975-08-28,1.2596
1975-08-29,1.2582
1975-09-01,1.2558
1975-09-02,1.2568
1975-09-03,1.2601
1975-09-04,1.2571
1975-09-05,1.2563
1975-09-08,1.2564
1975-09-09,1.2575
1975-09-10,1.2542
1975-09-11,1.253
1975-09-12,1.2509
1975-09-15,1.2494
1975-09-16,1.2416
1975-09-17,1.2355
1975-09-18,1.2324
1975-09-19,1.2299
1975-09-22,1.2209
1975-09-23,1.2129
1975-09-24,1.2173
1975-09-25,1.2234
1975-09-26,1.2192
1975-09-29,1.2146
1975-09-30,1.2243
1975-10-01,1.2361
1975-10-02,1.2367
1975-10-03,1.229
1975-10-06,1.2361
1975-10-07,1.2419
1975-10-08,1.2385
1975-10-09,1.2418
1975-10-10,1.2517
1975-10-13,1.2571
1975-10-14,1.2449
1975-10-15,1.2546
1975-10-16,1.259
1975-10-17,1.2566
1975-10-20,1.2564
1975-10-21,1.2583
1975-10-22,1.2633
1975-10-23,1.2612
1975-10-24,1.261
1975-10-27,1.2587
1975-10-28,1.2572
1975-10-29,1.2572
1975-10-30,1.2634
1975-10-31,1.2636
1975-11-03,1.2641
1975-11-04,1.2612
1975-11-05,1.2566
1975-11-06,1.2602
1975-11-07,1.2598
1975-11-10,1.2591
1975-11-11,1.2571
1975-11-12,1.2582
1975-11-13,1.2555
1975-11-14,1.2486
1975-11-17,1.239
1975-11-18,1.2407
1975-11-19,1.2433
1975-11-20,1.2488
1975-11-21,1.2435
1975-11-24,1.2429
1975-11-25,1.2441
1975-11-26,1.2393
1975-11-27,1.2375
1975-11-28,1.2346
1975-12-01,1.2367
1975-12-02,1.239
1975-12-03,1.2381
1975-12-04,1.2392
1975-12-05,1.2376
1975-12-08,1.2375
1975-12-09,1.2341
1975-12-10,1.2349
1975-12-11,1.2346
1975-12-12,1.2329
1975-12-15,1.23
1975-12-16,1.2311
1975-12-17,1.2331
1975-12-18,1.2355
1975-12-19,1.2366
1975-12-22,1.2375
1975-12-23,1.2389
1975-12-24,1.2404
1975-12-29,1.2355
1975-12-30,1.2352
1975-12-31,1.2356
1976-01-02,1.2356
1976-01-05,1.2426
1976-01-06,1.243
1976-01-07,1.2438
1976-01-08,1.243
1976-01-09,1.2407
1976-01-12,1.2404
1976-01-13,1.2378
1976-01-14,1.2402
1976-01-15,1.2398
1976-01-16,1.2387
1976-01-19,1.2392
1976-01-20,1.237
1976-01-21,1.2293
1976-01-22,1.2231
1976-01-23,1.2252
1976-01-26,1.2267
1976-01-27,1.2267
1976-01-28,1.2255
1976-01-29,1.224
1976-01-30,1.2228
1976-02-02,1.2273
1976-02-03,1.2249
1976-02-04,1.2285
1976-02-05,1.2278
1976-02-06,1.2262
1976-02-09,1.2209
1976-02-10,1.221
1976-02-11,1.2247
1976-02-12,1.2231
1976-02-13,1.2201
1976-02-16,1.2177
1976-02-17,1.2142
1976-02-18,1.217
1976-02-19,1.2177
1976-02-20,1.2142
1976-02-23,1.2124
1976-02-24,1.2127
1976-02-25,1.2127
1976-02-26,1.214
1976-02-27,1.2127
1976-03-01,1.2077
1976-03-02,1.2056
1976-03-03,1.2064
1976-03-04,1.2028
1976-03-05,1.2022
1976-03-08,1.2035
1976-03-09,1.2027
1976-03-10,1.1999
1976-03-11,1.1965
1976-03-12,1.1953
1976-03-15,1.1877
1976-03-16,1.1816
1976-03-17,1.1806
1976-03-18,1.1829
1976-03-19,1.1868
1976-03-22,1.1885
1976-03-23,1.1871
1976-03-24,1.1878
1976-03-25,1.1884
1976-03-26,1.1862
1976-03-29,1.1858
1976-03-30,1.1905
1976-03-31,1.1906
1976-04-01,1.1928
1976-04-02,1.1869
1976-04-05,1.1879
1976-04-06,1.1877
1976-04-07,1.1851
1976-04-08,1.1864
1976-04-09,1.1829
1976-04-12,1.1774
1976-04-13,1.1791
1976-04-14,1.1847
1976-04-15,1.1832
1976-04-20,1.184
1976-04-21,1.1832
1976-04-22,1.1811
1976-04-23,1.1802
1976-04-26,1.1805
1976-04-27,1.1801
1976-04-28,1.1805
1976-04-29,1.1809
1976-04-30,1.1798
1976-05-03,1.1798
1976-05-04,1.1765
1976-05-05,1.1756
1976-05-06,1.1839
1976-05-07,1.1874
1976-05-10,1.1908
1976-05-11,1.1874
1976-05-12,1.1839
1976-05-13,1.1839
1976-05-14,1.1815
1976-05-17,1.1737
1976-05-18,1.1755
1976-05-19,1.1781
1976-05-20,1.1781
1976-05-21,1.1744
1976-05-24,1.1769
1976-05-25,1.1759
1976-05-26,1.1726
1976-05-27,1.1752
1976-05-28,1.1719
1976-06-01,1.1695
1976-06-02,1.1727
1976-06-03,1.1718
1976-06-04,1.1712
1976-06-07,1.1736
1976-06-08,1.1741
1976-06-09,1.175
