时间,沪深300:成交金额
2006-02-15,127.478115
2006-02-16,134.071837
2006-02-17,107.74128
2006-02-20,103.033001
2006-02-21,131.802164
2006-02-22,134.35059
2006-02-23,102.597555
2006-02-24,102.863808
2006-02-27,125.20439
2006-02-28,104.278307
2006-03-01,105.184194
2006-03-02,137.486929
2006-03-03,114.371417
2006-03-06,90.912039
2006-03-07,96.765088
2006-03-08,88.180828
2006-03-09,66.400513
2006-03-10,63.378291
2006-03-13,61.019435
2006-03-14,58.615994
2006-03-15,78.223005
2006-03-16,79.3636
2006-03-17,79.451749
2006-03-20,82.463157
2006-03-21,102.715799
2006-03-22,100.345419
2006-03-23,108.250498
2006-03-24,110.319003
2006-03-27,92.017882
2006-03-28,106.305075
2006-03-29,158.821105
2006-03-30,120.899308
2006-03-31,120.456724
2006-04-03,157.031569
2006-04-04,175.252183
2006-04-05,185.39588
2006-04-06,196.878135
2006-04-07,177.601037
2006-04-10,172.464709
2006-04-11,197.967083
2006-04-12,159.911415
2006-04-13,171.900849
2006-04-14,167.82532
2006-04-17,183.491617
2006-04-18,174.034574
2006-04-19,193.6496
2006-04-20,215.612337
2006-04-21,227.506971
2006-04-24,262.458963
2006-04-25,228.852327
2006-04-26,254.761716
2006-04-27,188.625209
2006-04-28,243.430093
2006-05-08,265.363149
2006-05-09,331.119163
2006-05-10,335.682582
2006-05-11,372.996075
2006-05-12,342.618439
2006-05-15,457.68188
2006-05-16,509.163967
2006-05-17,391.338264
2006-05-18,318.328521
2006-05-19,362.223599
2006-05-22,381.988755
2006-05-23,327.477512
2006-05-24,310.968156
2006-05-25,204.825566
2006-05-26,217.41992
2006-05-29,271.006273
2006-05-30,289.924309
2006-05-31,293.596922
2006-06-01,313.834927
2006-06-02,374.073236
2006-06-05,297.847415
2006-06-06,264.978553
2006-06-07,310.762902
2006-06-08,264.625859
2006-06-09,216.310406
2006-06-12,150.2536
2006-06-13,167.161704
2006-06-14,159.823264
2006-06-15,129.478934
2006-06-16,161.523747
2006-06-19,186.726468
2006-06-20,164.167147
2006-06-21,182.715923
2006-06-22,146.423933
2006-06-23,151.255364
2006-06-26,185.647679
2006-06-27,160.22197
2006-06-28,148.361639
2006-06-29,242.256525
2006-06-30,229.424438
2006-07-03,244.231315
2006-07-04,281.160738
2006-07-05,211.541272
2006-07-06,216.375169
2006-07-07,225.29571
2006-07-10,186.167849
2006-07-11,189.589532
2006-07-12,248.311734
2006-07-13,317.000877
2006-07-14,210.650921
2006-07-17,160.468239
2006-07-18,147.971153
2006-07-19,159.236214
2006-07-20,115.055383
2006-07-21,124.424324
2006-07-24,125.177288
2006-07-25,140.897386
2006-07-26,120.599524
2006-07-27,147.516963
2006-07-28,138.093932
2006-07-31,131.154009
2006-08-01,101.379595
2006-08-02,101.808404
2006-08-03,81.159919
2006-08-04,97.623334
2006-08-07,85.157025
2006-08-08,83.874313
2006-08-09,74.851205
2006-08-10,100.200383
2006-08-11,90.333673
2006-08-14,98.705309
2006-08-15,85.92504
2006-08-16,122.670207
2006-08-17,88.43866
2006-08-18,79.513411
2006-08-21,86.616311
2006-08-22,112.241215
2006-08-23,122.155911
2006-08-24,94.166056
2006-08-25,115.86281
2006-08-28,166.409865
