时间,沪深300指数:涨跌幅
2003-01-28,0.294186
2003-01-29,0.06115
2003-02-10,-1.419182
2003-02-11,0.910153
2003-02-12,1.124621
2003-02-13,-0.490861
2003-02-14,0.401873
2003-02-17,-0.7417
2003-02-18,0.019839
2003-02-19,0.966192
2003-02-20,-0.117296
2003-02-21,-1.935809
2003-02-24,0.114633
2003-02-25,1.832281
2003-02-26,-0.037618
2003-02-27,0.087369
2003-02-28,-0.131226
2003-03-03,0.786416
2003-03-04,-0.084028
2003-03-05,-0.36748
2003-03-06,-1.268425
2003-03-07,-0.307375
2003-03-10,-1.717715
2003-03-11,-0.029792
2003-03-12,0.391832
2003-03-13,-0.613997
2003-03-14,0.208738
2003-03-17,0.137906
2003-03-18,-0.46174
2003-03-19,0.548565
2003-03-20,-0.370013
2003-03-21,0.813106
2003-03-24,0.187191
2003-03-25,-0.972179
2003-03-26,-0.416293
2003-03-27,2.576163
2003-03-28,-0.175383
2003-03-31,1.326147
2003-04-01,0.690522
2003-04-02,-0.048057
2003-04-03,-0.623972
2003-04-04,0.676189
2003-04-07,-0.46046
2003-04-08,0.299116
2003-04-09,1.759216
2003-04-10,0.979842
2003-04-11,1.574284
2003-04-14,2.471769
2003-04-15,0.824714
2003-04-16,-1.001148
2003-04-17,0.277203
2003-04-18,-0.558531
2003-04-21,-1.984065
2003-04-22,0.005884
2003-04-23,-1.612477
2003-04-24,-2.82634
2003-04-25,-1.091668
2003-04-28,3.758148
2003-04-29,-1.528447
2003-04-30,0.681003
2003-05-12,0.915923
2003-05-13,-2.787721
2003-05-14,2.193064
2003-05-15,2.434794
2003-05-16,0.069736
2003-05-19,0.125799
2003-05-20,-1.139152
2003-05-21,-0.183299
2003-05-22,0.90682
2003-05-23,1.04185
2003-05-26,0.70283
2003-05-27,0.076662
2003-05-28,-1.235931
2003-05-29,1.336785
2003-05-30,0.470585
2003-06-02,-0.029134
2003-06-03,-1.140651
2003-06-04,0.839418
2003-06-05,-1.303951
2003-06-06,-1.365726
2003-06-09,-1.022056
2003-06-10,0.541402
2003-06-11,1.778526
2003-06-12,-0.371754
2003-06-13,0.299172
2003-06-16,-0.294757
2003-06-17,-0.363863
2003-06-18,-0.173612
2003-06-19,-1.02943
2003-06-20,-0.71988
2003-06-23,-1.021808
2003-06-24,0.258536
2003-06-25,-0.686571
2003-06-26,0.964991
2003-06-27,-1.432724
2003-06-30,-0.506989
2003-07-01,0.053683
2003-07-02,1.049458
2003-07-03,0.261737
2003-07-04,-0.096738
2003-07-07,0.170816
2003-07-08,0.630805
2003-07-09,-0.649273
2003-07-10,2.112116
2003-07-11,-0.149545
2003-07-14,-0.385769
2003-07-15,0.261772
2003-07-16,0.44102
2003-07-17,0.754189
2003-07-18,-2.191905
2003-07-21,-0.759439
2003-07-22,0.255976
2003-07-23,0.335627
2003-07-24,-0.679498
2003-07-25,-1.003799
2003-07-28,-0.45279
2003-07-29,0.545193
2003-07-30,0.163557
2003-07-31,0.080212
2003-08-01,0.286407
2003-08-04,1.12792
2003-08-05,-0.082576
2003-08-06,-0.493121
2003-08-07,0.003082
2003-08-08,-1.205378
2003-08-11,0.335683
2003-08-12,0.298969
2003-08-13,-1.247619
2003-08-14,-0.604431
2003-08-15,-0.159652
2003-08-18,-0.277777
2003-08-19,0.307015
2003-08-20,-0.497893
2003-08-21,-0.087983
2003-08-22,-0.267614
2003-08-25,-1.186387
2003-08-26,0.172599
2003-08-27,-0.078689
2003-08-28,-0.765529
2003-08-29,0.786229
2003-09-01,1.802178
2003-09-02,-0.209699
2003-09-03,0.095465
2003-09-04,-0.161877
2003-09-05,-1.052068
2003-09-08,-0.513889
2003-09-09,-0.490564
2003-09-10,0.340002
2003-09-11,0.075763
2003-09-12,-1.083075
2003-09-15,-1.015565
2003-09-16,0.638604
2003-09-17,-1.070262
2003-09-18,0.067811
2003-09-19,0.104958
2003-09-22,-0.708961
2003-09-23,0.538935
2003-09-24,0.27918
2003-09-25,-1.199487
2003-09-26,-0.474799
2003-09-29,-1.303639
2003-09-30,0.949087
2003-10-08,0.366058
2003-10-09,-0.221256
2003-10-10,2.361249
2003-10-13,-0.31521
2003-10-14,-0.822902
2003-10-15,-0.287578
2003-10-16,-1.285672
2003-10-17,0.331563
2003-10-20,-0.68611
2003-10-21,0.373452
