时间,沪深300指数:涨跌点数
2003-03-10,-20.591
2003-03-11,-0.351
2003-03-12,4.615
2003-03-13,-7.26
2003-03-14,2.453
2003-03-17,1.624
2003-03-18,-5.445
2003-03-19,6.439
2003-03-20,-4.367
2003-03-21,9.561
2003-03-24,2.219
2003-03-25,-11.546
2003-03-26,-4.896
2003-03-27,30.172
2003-03-28,-2.107
2003-03-31,15.904
2003-04-01,8.391
2003-04-02,-0.588
2003-04-03,-7.631
2003-04-04,8.218
2003-04-07,-5.634
2003-04-08,3.643
2003-04-09,21.49
2003-04-10,12.18
2003-04-11,19.761
2003-04-14,31.515
2003-04-15,10.775
2003-04-16,-13.188
2003-04-17,3.615
2003-04-18,-7.304
2003-04-21,-25.801
2003-04-22,0.075
2003-04-23,-20.554
2003-04-24,-35.446
2003-04-25,-13.304
2003-04-28,45.3
2003-04-29,-19.116
2003-04-30,8.387
2003-05-12,11.357
2003-05-13,-34.883
2003-05-14,26.677
2003-05-15,30.267
2003-05-16,0.888
2003-05-19,1.603
2003-05-20,-14.534
2003-05-21,-2.312
2003-05-22,11.417
2003-05-23,13.236
2003-05-26,9.022
2003-05-27,0.991
2003-05-28,-15.989
2003-05-29,17.08
2003-05-30,6.093
2003-06-02,-0.379
2003-06-03,-14.834
2003-06-04,10.792
2003-06-05,-16.905
2003-06-06,-17.475
2003-06-09,-12.899
2003-06-10,6.763
2003-06-11,22.337
2003-06-12,-4.752
2003-06-13,3.81
2003-06-16,-3.765
2003-06-17,-4.634
2003-06-18,-2.203
2003-06-19,-13.04
2003-06-20,-9.025
2003-06-23,-12.718
2003-06-24,3.185
2003-06-25,-8.48
2003-06-26,11.837
2003-06-27,-17.744
2003-06-30,-6.189
2003-07-01,0.652
2003-07-02,12.753
2003-07-03,3.214
2003-07-04,-1.191
2003-07-07,2.101
2003-07-08,7.772
2003-07-09,-8.05
2003-07-10,26.017
2003-07-11,-1.881
2003-07-14,-4.845
2003-07-15,3.275
2003-07-16,5.532
2003-07-17,9.502
2003-07-18,-27.824
2003-07-21,-9.429
2003-07-22,3.154
2003-07-23,4.146
2003-07-24,-8.422
2003-07-25,-12.357
2003-07-28,-5.518
2003-07-29,6.614
2003-07-30,1.995
2003-07-31,0.98
2003-08-01,3.502
2003-08-04,13.831
2003-08-05,-1.024
2003-08-06,-6.11
2003-08-07,0.038
2003-08-08,-14.862
2003-08-11,4.089
2003-08-12,3.654
2003-08-13,-15.294
2003-08-14,-7.317
2003-08-15,-1.921
2003-08-18,-3.337
2003-08-19,3.678
2003-08-20,-5.983
2003-08-21,-1.052
2003-08-22,-3.197
2003-08-25,-14.135
2003-08-26,2.032
2003-08-27,-0.928
2003-08-28,-9.021
2003-08-29,9.194
2003-09-01,21.24
2003-09-02,-2.516
2003-09-03,1.143
2003-09-04,-1.94
2003-09-05,-12.588
2003-09-08,-6.084
2003-09-09,-5.778
2003-09-10,3.985
2003-09-11,0.891
2003-09-12,-12.747
2003-09-15,-11.823
2003-09-16,7.359
2003-09-17,-12.412
2003-09-18,0.778
2003-09-19,1.205
2003-09-22,-8.148
2003-09-23,6.15
2003-09-24,3.203
2003-09-25,-13.8
2003-09-26,-5.397
2003-09-29,-14.748
2003-09-30,10.597
2003-10-08,4.126
2003-10-09,-2.503
2003-10-10,26.653
2003-10-13,-3.642
2003-10-14,-9.478
2003-10-15,-3.285
2003-10-16,-14.644
2003-10-17,3.728
2003-10-20,-7.74
2003-10-21,4.184
2003-10-22,28.287
2003-10-23,-9.117
2003-10-24,-3.679
2003-10-27,-9.578
2003-10-28,0.249
2003-10-29,-7.482
2003-10-30,-12.424
2003-10-31,0.818
2003-11-03,11.863
2003-11-04,21.688
2003-11-05,-6.255
2003-11-06,-19.994
2003-11-07,-15.142
2003-11-10,4.25
2003-11-11,0.863
2003-11-12,-19.584
2003-11-13,2.402
2003-11-14,8.308
2003-11-17,-4.071
2003-11-18,-14.948
2003-11-19,17.054
2003-11-20,31.081
2003-11-21,-13.663
2003-11-24,32.12
2003-11-25,3.954
2003-11-26,3.722
2003-11-27,-19.247
2003-11-28,6.957
2003-12-01,25.532
2003-12-02,-0.105
2003-12-03,4.067
2003-12-04,6.184
2003-12-05,-1.992
2003-12-08,-12.234
2003-12-09,4.85
2003-12-10,15.399
2003-12-11,-0.042
2003-12-12,-1.527
2003-12-15,1.567
2003-12-16,-6.324
2003-12-17,-8.938
2003-12-18,3.985
2003-12-19,-9.757
2003-12-22,31.797
2003-12-23,5.644
2003-12-24,11.252
2003-12-25,-3.273
2003-12-26,-0.537
2003-12-29,-9.269
2003-12-30,7.844
2003-12-31,-12.354
2004-01-02,9.869
2004-01-05,35.854
2004-01-06,10.668
2004-01-07,15.133
2004-01-08,18.07
2004-01-09,-17.932
2004-01-12,28.278
2004-01-13,-1.5
2004-01-14,-15.223
2004-01-15,-4.345
2004-01-16,10.68
2004-01-29,27.651
2004-01-30,-30.613
2004-02-02,25.933
2004-02-03,13.729
2004-02-04,27.868
2004-02-05,4.987
2004-02-06,-6.63
2004-02-09,21.62
2004-02-10,-5.779
2004-02-11,-8.313
2004-02-12,-9.091
2004-02-13,-3.323
2004-02-16,30.965
2004-02-17,7.065
2004-02-18,10.99
2004-02-19,-5.377
2004-02-20,5.117
2004-02-23,-31.856
2004-02-24,-2.925
2004-02-25,-26.872
2004-02-26,6.421
2004-02-27,15.747
2004-03-01,15.304
2004-03-02,-3.72
2004-03-03,-21.979
2004-03-04,8.633
2004-03-05,-8.09
2004-03-08,-24.462
2004-03-09,-3.129
2004-03-10,30.822
2004-03-11,12.854
2004-03-12,0.671
2004-03-15,31.162
2004-03-16,5.689
2004-03-17,2.652
2004-03-18,-25.854
2004-03-19,21.408
2004-03-22,5.979
2004-03-23,-10.03
2004-03-24,-4.146
2004-03-25,0.488
2004-03-26,0.615
2004-03-29,-14.777
2004-03-30,0.349
2004-03-31,12.905
2004-04-01,11.678
2004-04-02,9.286
2004-04-05,-3.948
2004-04-06,8.458
2004-04-07,-1.654
2004-04-08,-6.003
2004-04-09,-32.495
2004-04-12,-5.595
2004-04-13,-10.851
2004-04-14,-21.755
2004-04-15,-13.223
2004-04-16,12.23
2004-04-19,-19.08
2004-04-20,-10.916
2004-04-21,-11.432
2004-04-22,6.781
2004-04-23,-20.128
2004-04-26,0.642
2004-04-27,-12.605
2004-04-28,-6.232
2004-04-29,-24.512
2004-04-30,6.12
2004-05-10,-33.134
2004-05-11,5.989
2004-05-12,27.441
2004-05-13,-5.438
2004-05-14,-27.317
2004-05-17,-12.072
2004-05-18,14.42
2004-05-19,-0.03
2004-05-20,-7.866
2004-05-21,7.5
2004-05-24,-8.424
2004-05-25,-23.077
2004-05-26,5.301
2004-05-27,25.669
2004-05-28,-6.961
2004-05-31,5.12
2004-06-01,17.264
2004-06-02,-12.173
2004-06-03,-18.378
2004-06-04,-0.778
2004-06-07,-16.513
2004-06-08,-15.932
2004-06-09,-22.785
2004-06-10,1.964
2004-06-11,1.018
2004-06-14,-25.122
2004-06-15,19.492
2004-06-16,6.195
2004-06-17,-24.589
2004-06-18,-13.101
2004-06-21,5.988
2004-06-22,10.491
2004-06-23,-9.563
2004-06-24,-10.416
2004-06-25,-17.945
2004-06-28,-12.452
2004-06-29,15.111
2004-06-30,-6.132
2004-07-01,33.904
2004-07-02,2.556
2004-07-05,1.471
2004-07-06,4.868
2004-07-07,-10.66
2004-07-08,2.403
2004-07-09,-6.112
2004-07-12,-23.737
2004-07-13,3.637
2004-07-14,1.964
2004-07-15,15.228
2004-07-16,28.792
2004-07-19,1.702
2004-07-20,-8.625
2004-07-21,-0.214
2004-07-22,-27.803
2004-07-23,3.74
2004-07-26,-14.331
2004-07-27,-3.87
2004-07-28,6.122
2004-07-29,14.647
2004-07-30,-15.49
2004-08-02,-8.127
2004-08-03,-6.967
2004-08-04,29.968
2004-08-05,-14.737
2004-08-06,-0.573
2004-08-09,5.238
2004-08-10,5.107
2004-08-11,-12.509
2004-08-12,-11.26
2004-08-13,2.428
2004-08-16,-9.649
2004-08-17,4.914
2004-08-18,-0.683
2004-08-19,-12.629
2004-08-20,1.031
2004-08-23,-13.017
2004-08-24,12.208
2004-08-25,-3.894
2004-08-26,-4.531
2004-08-27,-11.757
2004-08-30,-0.894
2004-08-31,17.626
2004-09-01,-15.915
2004-09-02,5.314
2004-09-03,-1.832
2004-09-06,-3.869
2004-09-07,1.817
2004-09-08,-9.879
2004-09-09,-19.05
2004-09-10,2.595
2004-09-13,-21.888
2004-09-14,30.143
2004-09-15,42.876
2004-09-16,11.633
2004-09-17,34.852
2004-09-20,39.359
2004-09-21,-8.668
2004-09-22,-23.35
2004-09-23,37.82
2004-09-24,-21.955
2004-09-27,-7.925
2004-09-28,8.291
2004-09-29,-12.331
2004-09-30,-14.684
2004-10-08,22.591
2004-10-11,-5.583
2004-10-12,-22.785
2004-10-13,0.631
2004-10-14,-44.051
2004-10-15,1.515
2004-10-18,1.83
2004-10-19,3.164
2004-10-20,-3.734
2004-10-21,-12.934
2004-10-22,13.175
2004-10-25,-13.953
2004-10-26,10.064
2004-10-27,10.431
2004-10-28,-1.007
2004-10-29,-18.379
2004-11-01,-11.871
2004-11-02,-2.695
2004-11-03,18.96
2004-11-04,-21.97
2004-11-05,1.081
2004-11-08,1.001
2004-11-09,2.405
2004-11-10,39.071
2004-11-11,-6.01
2004-11-12,2.348
2004-11-15,12.087
2004-11-16,-0.054
2004-11-17,-10.258
2004-11-18,10.64
2004-11-19,6.337
2004-11-22,2.98
2004-11-23,-9.472
2004-11-24,-7.208
2004-11-25,-1.328
2004-11-26,-1.357
2004-11-29,-13.634
2004-11-30,1.462
2004-12-01,-4.664
2004-12-02,-2.089
2004-12-03,2.273
2004-12-06,1.92
2004-12-07,-12.073
2004-12-08,0.995
2004-12-09,10.355
2004-12-10,-15.977
2004-12-13,-6.102
2004-12-14,-3.159
2004-12-15,3.59
2004-12-16,-4.611
2004-12-17,-10.276
2004-12-20,-13.623
2004-12-21,-1.254
2004-12-22,25.914
2004-12-23,-18.523
2004-12-24,0.888
2004-12-27,-3.953
2004-12-28,-1.748
2004-12-29,-5.17
2004-12-30,-1.538
2004-12-31,-3.989
2005-01-04,-17.206
2005-01-05,9.77
2005-01-06,-9.39
2005-01-07,0.784
2005-01-10,9.921
2005-01-11,3.256
2005-01-12,-0.387
2005-01-13,0.129
2005-01-14,-8.571
2005-01-17,-20.854
2005-01-18,7.237
2005-01-19,-7.479
2005-01-20,-10.965
2005-01-21,26.359
2005-01-24,15.529
2005-01-25,-0.358
2005-01-26,-7.847
2005-01-27,-15.297
2005-01-28,-5.422
2005-01-31,-14.33
2005-02-01,1.072
2005-02-02,50.962
2005-02-03,-13.698
2005-02-04,23.643
2005-02-16,6.726
2005-02-17,-2.978
2005-02-18,-14.551
2005-02-21,19.578
2005-02-22,21.111
2005-02-23,-2.8
2005-02-24,1.516
2005-02-25,1.301
2005-02-28,-6.772
2005-03-01,-4.055
2005-03-02,-14.614
2005-03-03,6.39
2005-03-04,-4.043
2005-03-07,6.204
2005-03-08,19.116
2005-03-09,-2.443
2005-03-10,-24.131
2005-03-11,5.016
2005-03-14,3.597
2005-03-15,-17.503
2005-03-16,-10.458
2005-03-17,-10.202
2005-03-18,-14.198
2005-03-21,3.228
2005-03-22,-17.869
2005-03-23,-5.014
2005-03-24,5.791
2005-03-25,-1.846
2005-03-28,-2.259
2005-03-29,-5.506
2005-03-30,-18.156
2005-03-31,5.169
2005-04-01,35.942
2005-04-04,-15.977
2005-04-05,-6.57
2005-04-06,18.07
2005-04-07,11.065
2005-04-08,18.712
2005-04-11,-8.024
2005-04-12,-16.724
2005-04-13,22.203
2005-04-14,-13.925
2005-04-15,-12.893
2005-04-18,-10.31
2005-04-19,2.114
2005-04-20,-15.019
2005-04-21,-6.886
2005-04-22,-4.88
2005-04-25,-9.031
2005-04-26,7.013
2005-04-27,-10.479
2005-04-28,15.469
2005-04-29,-9.678
2005-05-09,-23.221
2005-05-10,3.902
2005-05-11,-11.225
2005-05-12,-16.031
2005-05-13,1.723
2005-05-16,-12.272
2005-05-17,6.191
2005-05-18,1.734
2005-05-19,0.975
2005-05-20,-1.408
2005-05-23,-19.422
2005-05-24,5.115
2005-05-25,-0.005
2005-05-26,-11.12
2005-05-27,-7.823
2005-05-30,6.104
2005-05-31,0.334
2005-06-01,-18.414
2005-06-02,-19.153
2005-06-03,-0.346
2005-06-06,20.964
2005-06-07,-1.715
2005-06-08,68.491
2005-06-09,6.831
2005-06-10,-18.048
2005-06-13,-1.597
2005-06-14,-9.422
2005-06-15,-16.703
2005-06-16,12.403
2005-06-17,1.108
2005-06-20,25.91
2005-06-21,-10.089
2005-06-22,4.48
2005-06-23,-7.074
2005-06-24,4.729
2005-06-27,17.742
2005-06-28,-12.327
2005-06-29,-4.818
2005-06-30,-20.212
2005-07-01,-19.192
2005-07-04,-3.562
2005-07-05,-6.253
2005-07-06,-7.123
2005-07-07,2.173
2005-07-08,-15.24
2005-07-11,-5.392
2005-07-12,27.719
2005-07-13,-5.585
2005-07-14,3.359
2005-07-15,-8.589
2005-07-18,-8.006
2005-07-19,2.613
2005-07-20,7.033
2005-07-21,1.346
2005-07-22,15.706
2005-07-25,-2.833
2005-07-26,19.62
2005-07-27,17.532
2005-07-28,-3.127
2005-07-29,-2.721
2005-08-01,3.443
2005-08-02,11.991
2005-08-03,5.972
2005-08-04,-5.42
2005-08-05,19.653
2005-08-08,3.668
2005-08-09,5.618
2005-08-10,7.281
2005-08-11,13.622
2005-08-12,-15.676
2005-08-15,16.186
2005-08-16,-9.444
2005-08-17,7.954
2005-08-18,-32.341
2005-08-19,2.367
2005-08-22,8.635
2005-08-23,-8.259
2005-08-24,7.237
2005-08-25,-0.533
2005-08-26,-1.86
2005-08-29,-10.887
2005-08-30,-2.491
2005-08-31,13.036
2005-09-01,16.643
2005-09-02,3.312
2005-09-05,4.846
2005-09-06,-16.107
2005-09-07,16.148
2005-09-08,2.524
2005-09-09,-6.217
2005-09-12,0.441
2005-09-13,14.268
2005-09-14,6.419
2005-09-15,-0.595
2005-09-16,-2.103
2005-09-19,3.641
2005-09-20,-9.217
2005-09-21,-17.511
2005-09-22,-21.134
2005-09-23,-7.12
2005-09-26,2.331
2005-09-27,-14.271
2005-09-28,-0.495
2005-09-29,12.256
2005-09-30,1.417
2005-10-10,-10.071
2005-10-11,12.399
2005-10-12,3.765
2005-10-13,-6.986
2005-10-14,-11.671
2005-10-17,-7.205
2005-10-18,4.743
2005-10-19,-3.622
2005-10-20,1.171
2005-10-21,4.499
2005-10-24,2.238
2005-10-25,-12.38
2005-10-26,-18.452
2005-10-27,0.029
2005-10-28,-8.12
2005-10-31,8.553
2005-11-01,-3.417
2005-11-02,9.613
2005-11-03,-7.903
2005-11-04,3.786
2005-11-07,-1.083
2005-11-08,4.246
2005-11-09,-2.272
2005-11-10,-16.284
2005-11-11,1.822
2005-11-14,-2.641
2005-11-15,-5.514
2005-11-16,6.484
2005-11-17,-0.461
2005-11-18,19.583
2005-11-21,1.63
2005-11-22,-14.254
2005-11-23,6.612
2005-11-24,5.264
2005-11-25,2.612
2005-11-28,-3.938
2005-11-29,-8.857
2005-11-30,2.515
2005-12-01,-0.758
2005-12-02,-3.131
2005-12-05,-10.326
2005-12-06,6.465
2005-12-07,7.763
2005-12-08,0.218
2005-12-09,13.302
2005-12-12,1.16
2005-12-13,0.583
2005-12-14,9.052
2005-12-15,-1.719
2005-12-16,6.127
2005-12-19,0.349
2005-12-20,4.408
2005-12-21,-4.174
2005-12-22,5.61
2005-12-23,7.136
2005-12-26,6.488
2005-12-27,-3.018
2005-12-28,1.559
2005-12-29,11.112
2005-12-30,-8.58
2006-01-04,17.977
2006-01-05,17.706
2006-01-06,10.898
2006-01-09,5.221
2006-01-10,2.901
2006-01-11,-4.677
2006-01-12,10.239
2006-01-13,-4.907
2006-01-16,-17.37
2006-01-17,2.851
2006-01-18,19.332
2006-01-19,7.6
2006-01-20,2.118
2006-01-23,2.822
2006-01-24,2.931
2006-01-25,10.504
2006-02-06,23.637
2006-02-07,-3.297
2006-02-08,3.135
2006-02-09,-13.473
2006-02-10,12.738
2006-02-13,-0.723
2006-02-14,6.917
2006-02-15,3.129
2006-02-16,-21.539
2006-02-17,0.247
2006-02-20,1.271
2006-02-21,17.177
