时间,中国:沪深300:资金净主动买入额
2010-07-21,-28.784078
2010-07-22,51.97937
2010-07-23,-11.166379
2010-07-26,-5.190702
2010-07-27,-27.613897
2010-07-28,126.753852
2010-07-29,-24.217039
2010-07-30,-35.698536
2010-08-02,65.138929
2010-08-03,-99.084396
2010-08-04,-31.227229
2010-08-05,-81.938855
2010-08-06,60.061423
2010-08-09,-3.834034
2010-08-10,-169.248005
2010-08-11,2.582616
2010-08-12,-46.965383
2010-08-13,28.056672
2010-08-16,88.8313
2010-08-17,-4.7484
2010-08-18,-36.996841
2010-08-19,11.746526
2010-08-20,-129.110998
2010-08-23,-44.321848
2010-08-24,-6.857544
2010-08-25,-127.954163
2010-08-26,-28.79283
2010-08-27,-10.883939
2010-08-30,60.928962
2010-08-31,-58.082686
2010-09-01,-76.033814
2010-09-02,2.670276
2010-09-03,-54.450397
2010-09-06,67.011167
2010-09-07,-8.623026
2010-09-08,-11.724879
2010-09-09,-142.743608
2010-09-10,-22.46203
2010-09-13,5.571388
2010-09-14,-65.967113
2010-09-15,-110.491971
2010-09-16,-103.168601
2010-09-17,-31.20426
2010-09-20,-29.605661
2010-09-21,-23.029015
2010-09-27,34.374922
2010-09-28,-55.577963
2010-09-29,-22.955267
2010-09-30,85.504517
2010-10-08,94.877684
2010-10-11,10.42099
2010-10-12,33.804111
2010-10-13,41.492969
2010-10-14,-7.240352
2010-10-15,154.295856
2010-10-18,-99.308389
2010-10-19,35.274444
2010-10-20,-26.532423
2010-10-21,-77.083657
2010-10-22,-8.360578
2010-10-25,75.140752
2010-10-26,-145.627089
2010-10-27,-140.708713
2010-10-28,-77.400486
2010-10-29,-123.816265
2010-11-01,68.908986
2010-11-02,-157.685684
2010-11-03,-143.342072
2010-11-04,30.684889
2010-11-05,-56.746099
2010-11-08,-80.892829
2010-11-09,-146.678256
2010-11-10,-141.077604
2010-11-11,4.889155
2010-11-12,-400.360588
2010-11-15,-72.984689
2010-11-16,-219.652817
2010-11-17,-87.061323
2010-11-18,-9.061055
2010-11-19,-75.704443
2010-11-22,-53.647761
2010-11-23,-137.25371
2010-11-24,60.928115
2010-11-25,-16.543053
2010-11-26,-77.849744
2010-11-29,-32.894056
2010-11-30,-101.077701
2010-12-01,-19.29067
2010-12-02,-25.153491
2010-12-03,-34.567994
2010-12-06,-29.954766
2010-12-07,49.400539
2010-12-08,-58.081713
2010-12-09,-72.628899
2010-12-10,37.036947
2010-12-13,120.534374
2010-12-14,-30.408836
2010-12-15,-77.871868
2010-12-16,-63.288177
2010-12-17,-52.085294
2010-12-20,-117.511808
2010-12-21,96.189124
2010-12-22,-70.526228
2010-12-23,-61.055153
2010-12-24,-46.975874
2010-12-27,-95.943249
2010-12-28,-76.4266
2010-12-29,-28.043913
2010-12-30,-25.872836
2010-12-31,72.52466
2011-01-04,36.469678
2011-01-05,-28.215427
2011-01-06,-28.788635
2011-01-07,-15.359727
2011-01-10,-96.779108
2011-01-11,-6.62307
2011-01-12,-24.72251
2011-01-13,-27.886206
2011-01-14,-76.207303
2011-01-17,-119.842373
2011-01-18,-29.827552
2011-01-19,32.182582
2011-01-20,-141.48236
2011-01-21,23.550057
2011-01-24,-47.617156
2011-01-25,-36.909896
2011-01-26,25.942632
2011-01-27,58.744516
2011-01-28,-25.057729
2011-01-31,35.322964
2011-02-01,-29.673858
2011-02-09,-61.296
2011-02-10,47.592362
2011-02-11,-24.340437
2011-02-14,159.636529
2011-02-15,-40.350641
2011-02-16,16.250787
2011-02-17,-77.0231
2011-02-18,-92.982382
2011-02-21,47.868172
2011-02-22,-240.117275
2011-02-23,-29.937008
2011-02-24,-32.453595
2011-02-25,-10.275295
2011-02-28,52.460215
2011-03-01,-13.952892
2011-03-02,-61.729046
2011-03-03,-71.218139
2011-03-04,81.950242
2011-03-07,95.620658
2011-03-08,-66.589855
2011-03-09,-37.376851
2011-03-10,-154.872852
2011-03-11,-95.373537
2011-03-14,-28.343585
2011-03-15,-181.716583
2011-03-16,7.534649
2011-03-17,-130.219374
2011-03-18,-25.009394
2011-03-21,-70.208258
2011-03-22,-12.180645
2011-03-23,67.442019
2011-03-24,-83.822374
2011-03-25,87.775605
2011-03-28,-65.80708
2011-03-29,-114.131098
2011-03-30,-26.120852
2011-03-31,-90.724472
2011-04-01,28.316294
2011-04-06,35.936091
2011-04-07,-40.097244
2011-04-08,38.057038
2011-04-11,-80.488929
2011-04-12,-96.268139
2011-04-13,63.307031
2011-04-14,-89.084224
2011-04-15,-50.066681
2011-04-18,-52.068113
2011-04-19,-138.415143
2011-04-20,-31.934817
2011-04-21,-18.531565
2011-04-22,-88.853532
2011-04-25,-112.718489
2011-04-26,-54.737872
2011-04-27,-80.965028
2011-04-28,-77.195766
2011-04-29,12.459202
2011-05-03,-2.366009
2011-05-04,-130.092152
2011-05-05,-30.731957
2011-05-06,-8.259259
2011-05-09,-49.033447
2011-05-10,-1.790869
2011-05-11,-37.97432
2011-05-12,-73.765785
2011-05-13,-4.378363
2011-05-16,-65.518622
2011-05-17,-24.463698
2011-05-18,6.775727
2011-05-19,-58.060381
2011-05-20,-23.694029
2011-05-23,-132.63977
2011-05-24,-2.745877
2011-05-25,-58.231179
2011-05-26,-40.150022
2011-05-27,-8.602474
2011-05-30,-13.028265
2011-05-31,26.840218
2011-06-01,-41.30468
2011-06-02,-45.266911
2011-06-03,29.546308
2011-06-07,11.103562
2011-06-08,-16.684022
2011-06-09,-69.69712
2011-06-10,-4.136633
2011-06-13,-0.804752
2011-06-14,18.518391
2011-06-15,-52.723107
2011-06-16,-54.384354
2011-06-17,-49.059834
2011-06-20,-27.062861
2011-06-21,9.342859
2011-06-22,-22.07334
2011-06-23,66.677587
2011-06-24,65.030975
2011-06-27,-40.884233
2011-06-28,-11.756482
2011-06-29,-66.547615
2011-06-30,63.31849
2011-07-01,-16.015928
2011-07-04,80.455947
2011-07-05,-46.786009
2011-07-06,-36.685757
2011-07-07,-63.971498
2011-07-08,-9.988947
2011-07-11,-4.660957
2011-07-12,-117.881313
2011-07-13,51.484209
2011-07-14,-36.039887
2011-07-15,7.058372
2011-07-18,-62.271671
2011-07-19,-54.003267
2011-07-20,-52.102021
2011-07-21,-68.082016
2011-07-22,-25.754095
2011-07-25,-138.531304
2011-07-26,-13.435621
2011-07-27,-0.039767
2011-07-28,-21.00149
2011-07-29,-54.509516
2011-08-01,-3.747825
2011-08-02,-36.279685
2011-08-03,-4.36317
2011-08-04,-32.501754
2011-08-05,-41.882002
2011-08-08,-72.074382
2011-08-09,-7.096336
2011-08-10,-49.746334
2011-08-11,55.615117
2011-08-12,-43.898887
2011-08-15,17.951386
2011-08-16,-54.835822
2011-08-17,-20.317321
2011-08-18,-68.308331
2011-08-19,-22.493778
2011-08-22,-58.466184
2011-08-23,16.484283
2011-08-24,-40.737248
2011-08-25,128.398426
2011-08-26,-24.97017
2011-08-29,-68.554003
2011-08-30,-42.271995
2011-08-31,-16.066966
2011-09-01,-35.700096
2011-09-02,-42.491449
2011-09-05,-53.336893
2011-09-06,-25.300056
2011-09-07,29.132412
2011-09-08,-26.726436
2011-09-09,-17.728308
2011-09-13,-14.427293
2011-09-14,-26.538666
2011-09-15,-12.216779
2011-09-16,-13.423326
2011-09-19,-53.273453
2011-09-20,-1.816153
2011-09-21,75.039732
2011-09-22,-97.847899
2011-09-23,-21.49589
2011-09-26,-59.049509
2011-09-27,22.902939
2011-09-28,-49.918684
2011-09-29,1.083579
2011-09-30,-21.569112
2011-10-10,-22.837316
2011-10-11,-43.004329
2011-10-12,64.108169
2011-10-13,-19.444717
2011-10-14,-12.898885
2011-10-17,-12.706592
2011-10-18,-77.574666
2011-10-19,-14.632358
2011-10-20,-56.943285
2011-10-21,-16.88289
2011-10-24,55.114168
2011-10-25,21.61255
2011-10-26,32.537005
2011-10-27,-8.523703
2011-10-28,25.932504
2011-10-31,-41.080325
2011-11-01,-4.723735
2011-11-02,47.464673
2011-11-03,-36.163837
2011-11-04,-4.069695
2011-11-07,-48.650792
2011-11-08,-32.77749
2011-11-09,4.583024
2011-11-10,-76.825366
2011-11-11,-24.691721
2011-11-14,42.905277
2011-11-15,-30.20232
2011-11-16,-138.152261
2011-11-17,-19.203037
2011-11-18,-74.959871
2011-11-21,-12.910368
2011-11-22,-9.082271
