时间,沪深300:成交量
2005-12-19,9.936327
2005-12-20,10.294659
2005-12-21,10.273976
2005-12-22,8.947026
2005-12-23,11.906999
2005-12-26,15.34265
2005-12-27,12.050359
2005-12-28,12.131032
2005-12-29,17.254959
2005-12-30,15.600251
2006-01-04,21.126899
2006-01-05,27.311743
2006-01-06,30.286368
2006-01-09,24.329552
2006-01-10,22.735302
2006-01-11,26.524138
2006-01-12,21.89668
2006-01-13,22.281861
2006-01-16,20.305215
2006-01-17,16.037276
2006-01-18,20.823518
2006-01-19,26.455609
2006-01-20,26.147062
2006-01-23,22.546019
2006-01-24,24.197991
2006-01-25,21.800758
2006-02-06,25.038771
2006-02-07,32.954787
2006-02-08,26.986729
2006-02-09,23.839601
2006-02-10,22.024453
2006-02-13,22.157298
2006-02-14,18.55622
2006-02-15,24.784628
2006-02-16,26.159892
2006-02-17,21.026875
2006-02-20,18.818883
2006-02-21,23.678039
2006-02-22,25.380704
2006-02-23,19.785037
2006-02-24,19.676104
2006-02-27,22.872099
2006-02-28,19.353267
2006-03-01,19.42573
2006-03-02,24.877861
2006-03-03,21.200539
2006-03-06,17.870963
2006-03-07,19.336516
2006-03-08,17.463055
2006-03-09,12.735099
2006-03-10,11.887983
2006-03-13,11.765911
2006-03-14,11.34803
2006-03-15,14.842068
2006-03-16,14.784339
2006-03-17,15.001924
2006-03-20,15.389912
2006-03-21,19.077662
2006-03-22,18.640575
2006-03-23,20.467885
2006-03-24,20.098237
2006-03-27,17.13407
2006-03-28,22.273999
2006-03-29,30.526345
2006-03-30,22.012494
2006-03-31,22.27619
2006-04-03,27.729761
2006-04-04,31.148757
2006-04-05,32.936914
2006-04-06,36.167049
2006-04-07,32.57086
2006-04-10,32.06752
2006-04-11,35.60752
2006-04-12,30.333845
2006-04-13,33.824146
2006-04-14,33.527962
2006-04-17,35.704548
2006-04-18,32.317223
2006-04-19,34.322898
2006-04-20,37.885651
2006-04-21,40.77291
2006-04-24,45.936219
2006-04-25,38.611125
2006-04-26,41.824301
2006-04-27,31.980451
2006-04-28,40.801858
2006-05-08,44.912821
2006-05-09,55.993861
2006-05-10,55.667043
2006-05-11,61.133725
2006-05-12,54.920331
2006-05-15,73.534005
2006-05-16,79.65817
2006-05-17,61.823287
2006-05-18,52.056363
2006-05-19,67.123869
2006-05-22,66.262172
2006-05-23,56.872388
2006-05-24,51.176632
2006-05-25,34.046436
2006-05-26,36.385665
2006-05-29,44.480011
2006-05-30,44.761027
2006-05-31,47.335883
2006-06-01,53.493453
2006-06-02,64.109162
2006-06-05,55.101819
2006-06-06,46.835278
2006-06-07,52.047647
2006-06-08,45.677509
2006-06-09,37.392623
2006-06-12,25.033331
2006-06-13,27.823031
2006-06-14,28.801661
2006-06-15,23.241302
2006-06-16,28.408032
2006-06-19,30.726258
2006-06-20,27.797058
2006-06-21,32.445479
2006-06-22,25.953157
2006-06-23,25.651644
2006-06-26,29.59592
2006-06-27,26.454734
2006-06-28,25.791657
2006-06-29,42.439201
2006-06-30,38.396745
2006-07-03,38.297385
2006-07-04,42.749803
2006-07-05,33.446005
2006-07-06,32.480734
2006-07-07,33.556176
2006-07-10,27.607369
2006-07-11,28.537379
2006-07-12,36.293417
2006-07-13,48.970673
2006-07-14,32.659105
2006-07-17,24.205552
2006-07-18,22.724544
2006-07-19,25.227647
2006-07-20,18.450621
2006-07-21,20.393648
2006-07-24,19.96619
2006-07-25,22.023509
2006-07-26,19.633442
2006-07-27,23.818755
2006-07-28,21.557505
2006-07-31,22.181211
2006-08-01,17.443887
2006-08-02,17.813284
2006-08-03,12.940473
2006-08-04,16.053628
2006-08-07,15.116519
2006-08-08,14.250481
2006-08-09,12.859474
2006-08-10,17.699006
2006-08-11,15.303227
2006-08-14,16.444469
2006-08-15,14.31936
2006-08-16,20.802743
2006-08-17,15.457904
2006-08-18,13.964524
2006-08-21,15.064766
2006-08-22,17.200942
2006-08-23,19.092875
2006-08-24,15.081306
2006-08-25,18.557937
2006-08-28,26.18329
2006-08-29,31.766376
2006-08-30,21.139949
2006-08-31,23.188274
2006-09-01,25.033688
2006-09-04,21.09534
2006-09-05,26.86811
2006-09-06,23.153112
2006-09-07,21.886449
2006-09-08,17.230273
2006-09-11,20.947266
2006-09-12,27.301891
2006-09-13,32.821191
2006-09-14,22.217284
2006-09-15,36.057148
2006-09-18,31.454851
2006-09-19,26.648301
2006-09-20,23.44588
2006-09-21,26.094121
2006-09-22,28.265042
2006-09-25,24.58478
2006-09-26,19.703278
2006-09-27,17.580323
2006-09-28,21.687792
2006-09-29,27.166742
2006-10-09,39.191862
2006-10-10,38.400486
2006-10-11,31.617987
2006-10-12,37.956237
2006-10-13,28.295156
2006-10-16,28.492186
2006-10-17,24.224403
2006-10-18,24.290308
2006-10-19,23.820267
2006-10-20,26.560143
2006-10-23,28.950377
2006-10-24,26.189972
2006-10-25,32.204895
2006-10-26,38.466362
2006-10-27,37.379304
2006-10-30,35.320452
2006-10-31,36.952283
2006-11-01,38.926925
2006-11-02,42.373136
2006-11-03,39.372027
2006-11-06,42.03351
2006-11-07,43.038328
2006-11-08,28.722405
2006-11-09,34.030133
2006-11-10,53.922867
2006-11-13,41.653301
2006-11-14,36.307885
2006-11-15,40.589216
2006-11-16,57.760948
2006-11-17,44.446191
2006-11-20,53.412359
2006-11-21,48.601842
2006-11-22,57.065495
2006-11-23,51.360679
2006-11-24,49.712096
2006-11-27,47.26727
2006-11-28,44.762916
2006-11-29,45.578411
2006-11-30,60.216088
2006-12-01,58.413581
2006-12-04,71.434333
2006-12-05,67.202576
2006-12-06,81.2767
2006-12-07,80.487502
2006-12-08,66.257746
2006-12-11,51.335975
2006-12-12,57.833543
2006-12-13,48.004458
2006-12-14,47.206227
2006-12-15,49.414441
2006-12-18,61.89299
2006-12-19,67.788935
2006-12-20,56.348502
2006-12-21,60.225164
2006-12-22,46.230501
2006-12-25,56.251742
2006-12-26,56.967383
2006-12-27,56.005647
2006-12-28,63.192834
2006-12-29,73.851947
2007-01-04,106.719707
2007-01-05,92.743447
2007-01-08,84.767909
2007-01-09,81.577629
2007-01-10,84.904979
2007-01-11,86.276548
2007-01-12,76.52572
2007-01-15,66.403097
2007-01-16,76.364254
2007-01-17,89.01554
2007-01-18,78.648606
2007-01-19,83.334022
2007-01-22,93.892993
2007-01-23,102.337616
2007-01-24,84.433697
2007-01-25,81.055151
2007-01-26,78.654008
2007-01-29,85.452085
2007-01-30,78.211528
2007-01-31,80.909137
2007-02-01,65.078095
2007-02-02,59.377154
2007-02-05,47.587506
2007-02-06,67.010648
2007-02-07,70.10639
2007-02-08,62.65654
2007-02-09,55.515532
2007-02-12,54.99232
2007-02-13,51.528862
2007-02-14,62.777279
2007-02-15,71.631329
2007-02-16,75.908785
2007-02-26,74.53156
2007-02-27,107.736807
2007-02-28,82.822571
2007-03-01,82.159655
2007-03-02,57.946805
2007-03-05,68.517488
2007-03-06,52.633153
2007-03-07,59.720949
2007-03-08,55.386559
2007-03-09,70.411326
2007-03-12,62.468921
2007-03-13,65.788908
2007-03-14,68.952088
2007-03-15,63.778489
2007-03-16,75.33185
2007-03-19,73.983566
2007-03-20,61.249726
2007-03-21,64.612957
2007-03-22,83.308074
2007-03-23,73.911919
2007-03-26,76.074773
2007-03-27,80.725127
2007-03-28,112.20997
2007-03-29,106.567239
2007-03-30,62.950706
2007-04-02,69.247883
2007-04-03,77.014495
2007-04-04,75.506658
2007-04-05,74.138991
2007-04-06,79.102328
2007-04-09,90.901705
2007-04-10,100.888342
2007-04-11,101.669935
2007-04-12,92.535186
2007-04-13,100.653116
2007-04-16,87.92894
2007-04-17,105.307105
2007-04-18,101.426707
2007-04-19,115.270009
2007-04-20,94.469869
2007-04-23,109.958991
2007-04-24,114.643006
2007-04-25,100.580669
2007-04-26,78.99769
2007-04-27,80.698636
2007-04-30,94.302864
2007-05-08,106.788732
2007-05-09,140.648358
2007-05-10,115.419922
2007-05-11,88.961761
2007-05-14,91.098049
2007-05-15,93.578568
2007-05-16,86.229268
2007-05-17,90.256478
2007-05-18,82.418898
2007-05-21,98.47865
2007-05-22,109.618184
2007-05-23,98.523171
2007-05-24,113.814264
2007-05-25,95.416615
2007-05-28,114.041851
2007-05-29,113.267227
2007-05-30,132.73914
2007-05-31,126.078248
2007-06-01,119.937939
2007-06-04,90.531019
2007-06-05,113.768038
2007-06-06,95.95151
2007-06-07,94.190581
2007-06-08,89.074742
2007-06-11,90.982277
2007-06-12,99.389774
2007-06-13,109.452945
2007-06-14,86.60918
2007-06-15,68.7796
2007-06-18,87.872913
2007-06-19,81.540471
2007-06-20,86.863015
2007-06-21,73.739471
2007-06-22,79.552374
2007-06-25,70.031044
2007-06-26,58.885114
2007-06-27,65.29052
2007-06-28,66.85798
2007-06-29,58.92087
2007-07-02,49.74731
2007-07-03,46.409126
2007-07-04,38.233716
2007-07-05,43.225527
2007-07-06,51.366512
2007-07-09,54.073113
2007-07-10,51.907868
2007-07-11,33.628907
2007-07-12,31.368119
2007-07-13,26.893242
2007-07-16,29.931857
2007-07-17,32.55385
2007-07-18,45.975823
2007-07-19,30.258467
2007-07-20,55.271121
2007-07-23,85.276186
2007-07-24,76.090735
2007-07-25,64.597766
2007-07-26,65.490243
2007-07-27,65.021109
2007-07-30,75.441583
2007-07-31,71.375042
2007-08-01,79.361665
2007-08-02,62.887538
2007-08-03,78.190473
2007-08-06,76.164271
2007-08-07,83.847133
2007-08-08,88.988001
2007-08-09,72.025786
2007-08-10,74.962881
2007-08-13,85.763167
2007-08-14,61.157911
2007-08-15,63.466427
2007-08-16,63.594794
2007-08-17,63.65212
