时间,现货成交量:欧盟排放配额(EUA):2021-2030
2022-04-19,11000
2022-04-20,105000
2022-04-21,1000
2022-04-22,155000
2022-04-25,108000
2022-04-26,14000
2022-04-27,11000
2022-04-28,46000
2022-04-29,0
2022-05-02,3000
2022-05-03,1000
2022-05-04,2000
2022-05-05,8000
2022-05-06,0
2022-05-09,17000
2022-05-10,6000
2022-05-11,51000
2022-05-12,67000
2022-05-13,5000
2022-05-16,113000
2022-05-17,59000
2022-05-18,184000
2022-05-19,185000
2022-05-20,105000
2022-05-23,108000
2022-05-24,22000
2022-05-25,7000
2022-05-26,64000
2022-05-27,51000
2022-05-30,106000
2022-05-31,2000
2022-06-01,6000
2022-06-02,15000
2022-06-03,6000
2022-06-06,19000
2022-06-07,8000
2022-06-08,30000
2022-06-09,18000
2022-06-10,9000
2022-06-13,9000
2022-06-14,12000
2022-06-15,21000
2022-06-16,35000
2022-06-17,29000
2022-06-20,44000
2022-06-21,76000
2022-06-22,76000
2022-06-23,32000
2022-06-24,7000
2022-06-27,8000
2022-06-28,4000
2022-06-29,65000
2022-06-30,1000
2022-07-01,24000
2022-07-04,7000
2022-07-05,25000
2022-07-06,10000
2022-07-07,6000
2022-07-08,9000
2022-07-11,5000
2022-07-12,7000
2022-07-13,19000
2022-07-14,5000
2022-07-15,2000
2022-07-18,10000
2022-07-19,47000
2022-07-20,63000
2022-07-21,22000
2022-07-22,26000
2022-07-25,39000
2022-07-26,60000
2022-07-27,76000
2022-07-28,20000
2022-07-29,19000
2022-08-01,19000
2022-08-02,20000
2022-08-03,30000
2022-08-04,21000
2022-08-05,12000
2022-08-08,22000
2022-08-09,1000
2022-08-10,24000
2022-08-11,12000
2022-08-12,12000
2022-08-15,3000
2022-08-16,9000
2022-08-17,4000
2022-08-18,41000
2022-08-19,100000
2022-08-22,11000
2022-08-23,655000
2022-08-24,22000
2022-08-25,37000
2022-08-26,17000
2022-08-29,100000
2022-08-30,56000
2022-08-31,65000
2022-09-01,29000
2022-09-02,67000
2022-09-05,67000
2022-09-06,110000
2022-09-07,103000
2022-09-08,89000
2022-09-09,42000
2022-09-12,103000
2022-09-13,80000
2022-09-14,58000
2022-09-15,67000
2022-09-16,22000
2022-09-19,33000
2022-09-20,16000
2022-09-21,35000
2022-09-22,20000
2022-09-23,52000
2022-09-26,46000
2022-09-27,15000
2022-09-28,22000
2022-09-29,6000
2022-09-30,16000
2022-10-03,3000
2022-10-04,7000
2022-10-05,107000
2022-10-06,39000
2022-10-07,5000
2022-10-10,24000
2022-10-11,9000
2022-10-12,10000
2022-10-13,10000
2022-10-14,6000
2022-10-17,16000
2022-10-18,3000
2022-10-19,3000
2022-10-20,4000
2022-10-21,8000
2022-10-24,0
2022-10-25,5000
2022-10-26,19000
2022-10-27,46000
2022-10-28,39000
2022-10-31,2000
2022-11-01,2000
2022-11-02,19000
2022-11-03,6000
2022-11-04,26000
2022-11-07,7000
2022-11-08,56000
2022-11-09,85000
2022-11-10,8000
2022-11-11,5000
2022-11-14,66000
2022-11-15,48000
2022-11-16,111000
2022-11-17,6000
2022-11-18,19000
2022-11-21,11000
2022-11-22,7000
2022-11-23,29000
2022-11-24,37000
2022-11-25,17000
2022-11-28,21000
2022-11-29,37000
2022-11-30,16000
2022-12-01,32000
2022-12-02,16000
2022-12-05,18000
2022-12-06,14000
2022-12-07,49000
2022-12-08,6000
2022-12-09,11000
2022-12-12,11000
2022-12-13,14000
2022-12-14,83000
2022-12-15,29000
2022-12-16,20000
2022-12-19,16000
2022-12-20,24000
2022-12-21,26000
2022-12-22,6000
2022-12-23,10000
2022-12-27,13000
2022-12-28,27000
2022-12-29,60000
2022-12-30,27000
2023-01-02,3000
2023-01-03,41000
2023-01-04,112000
2023-01-05,51000
2023-01-06,59000
2023-01-09,1000
2023-01-10,33000
2023-01-11,70000
2023-01-12,11000
2023-01-13,43000
2023-01-16,75000
2023-01-17,1000
2023-01-18,2000
2023-01-19,6000
2023-01-20,180000
2023-01-23,1000
2023-01-24,280000
2023-01-25,301000
2023-01-26,4000
2023-01-27,15000
2023-01-30,5000
2023-01-31,224000
2023-02-01,53000
2023-02-02,445000
2023-02-03,432000
2023-02-06,76000
2023-02-07,19000
2023-02-08,72000
2023-02-09,12000
2023-02-10,0
2023-02-13,1000
2023-02-14,14000
2023-02-15,27000
2023-02-16,172000
2023-02-17,605000
2023-02-20,23000
2023-02-21,103000
2023-02-22,22000
2023-02-23,0
2023-02-24,104000
2023-02-27,0
2023-02-28,18000
2023-03-01,61000
2023-03-02,191000
2023-03-03,115000
2023-03-06,7000
2023-03-07,55000
2023-03-08,20000
2023-03-09,16000
2023-03-10,3000
2023-03-13,53000
2023-03-14,80000
2023-03-15,75000
2023-03-16,10000
2023-03-17,15000
2023-03-20,6000
2023-03-21,62000
2023-03-22,4000
2023-03-23,54000
2023-03-24,52000
2023-03-27,67000
2023-03-28,3000
2023-03-29,10000
2023-03-30,133000
2023-03-31,51000
2023-04-03,4000
2023-04-04,57000
2023-04-05,84000
2023-04-06,74000
2023-04-11,24000
2023-04-12,194000
2023-04-13,49000
2023-04-14,80000
2023-04-17,172000
2023-04-18,198000
2023-04-19,6000
2023-04-20,111000
2023-04-21,94000
2023-04-24,121000
2023-04-25,63000
2023-04-26,138000
2023-04-27,66000
2023-04-28,151000
2023-05-02,100000
2023-05-03,120000
2023-05-04,57000
2023-05-05,17000
2023-05-08,6000
2023-05-09,272000
2023-05-10,313000
2023-05-11,784000
2023-05-12,443000
2023-05-15,798000
2023-05-16,590000
2023-05-17,276000
2023-05-18,11000
2023-05-19,9000
2023-05-22,159000
2023-05-23,118000
2023-05-24,174000
2023-05-25,62000
2023-05-26,47000
2023-05-29,27000
2023-05-30,968000
2023-05-31,1143000
2023-06-01,911000
2023-06-02,339000
2023-06-05,84000
2023-06-06,208000
2023-06-07,63000
2023-06-08,103000
2023-06-09,109000
2023-06-12,1000
2023-06-13,60000
2023-06-14,4000
2023-06-15,166000
2023-06-16,124000
2023-06-19,219000
2023-06-20,44000
2023-06-21,231000
2023-06-22,43000
2023-06-23,71000
2023-06-26,156000
2023-06-27,20000
2023-06-28,22000
2023-06-29,6000
2023-06-30,80000
2023-07-03,24000
2023-07-04,68000
2023-07-05,55000
2023-07-06,76000
2023-07-07,116000
2023-07-10,33000
2023-07-11,76000
2023-07-12,12000
2023-07-13,63000
2023-07-14,26000
2023-07-17,66000
2023-07-18,59000
2023-07-19,164000
2023-07-20,53000
2023-07-21,10000
2023-07-24,64000
2023-07-25,104000
2023-07-26,25000
2023-07-27,49000
2023-07-28,194000
2023-07-31,115000
2023-08-01,92000
2023-08-02,67000
2023-08-03,60000
2023-08-04,151000
2023-08-07,116000
2023-08-08,32000
2023-08-09,45000
2023-08-10,54000
2023-08-11,1000
2023-08-14,177000
2023-08-15,4000
2023-08-16,403000
2023-08-17,253000
2023-08-18,59000
2023-08-21,134000
2023-08-22,6000
2023-08-23,10000
2023-08-24,122000
2023-08-25,136000
2023-08-28,36000
2023-08-29,75000
2023-08-30,46000
2023-08-31,11000
2023-09-01,133000
2023-09-04,118000
2023-09-05,96000
2023-09-06,63000
2023-09-07,85000
2023-09-08,191000
2023-09-11,51000
2023-09-12,47000
2023-09-13,19000
2023-09-14,176000
2023-09-15,22000
2023-09-18,12000
2023-09-19,12000
2023-09-20,5000
2023-09-21,128000
2023-09-22,10000
2023-09-25,7000
2023-09-26,74000
2023-09-27,16000
2023-09-28,62000
2023-09-29,26000
2023-10-02,116000
2023-10-03,54000
2023-10-04,1000
2023-10-05,6000
2023-10-06,152000
2023-10-09,0
2023-10-10,140000
2023-10-11,59000
2023-10-12,89000
2023-10-13,76000
2023-10-16,85000
2023-10-17,15000
2023-10-18,27000
2023-10-19,220000
2023-10-20,70000
2023-10-23,3000
2023-10-24,6000
2023-10-25,15000
2023-10-26,2000
2023-10-27,15000
2023-10-30,52000
2023-10-31,41000
2023-11-01,31000
2023-11-02,56000
2023-11-03,415000
2023-11-06,65000
2023-11-07,2000
2023-11-08,54000
2023-11-09,100000
2023-11-10,100000
2023-11-13,5000
2023-11-14,53000
2023-11-15,0
2023-11-16,136000
2023-11-17,3000
2023-11-20,10000
2023-11-21,1000
2023-11-22,1000
2023-11-23,5000
2023-11-24,12000
2023-11-27,80000
2023-11-28,21000
2023-11-29,74000
2023-11-30,2000
2023-12-01,10000
2023-12-04,4000
2023-12-05,48000
2023-12-06,15000
2023-12-07,16000
2023-12-08,23000
2023-12-11,23000
2023-12-12,15000
2023-12-13,10000
2023-12-14,16000
2023-12-15,37000
2023-12-18,0
2023-12-19,146000
2023-12-20,146000
2023-12-21,79000
2023-12-22,25000
2023-12-27,9000
2023-12-28,7000
2023-12-29,0
2024-01-02,189000
2024-01-03,104000
2024-01-04,123000
2024-01-05,108000
2024-01-08,73000
2024-01-09,172000
2024-01-10,214000
2024-01-11,188000
2024-01-12,197000
2024-01-15,38000
2024-01-16,36000
2024-01-17,145000
2024-01-18,99000
2024-01-19,113000
2024-01-22,97000
2024-01-23,133000
2024-01-24,79000
2024-01-25,279000
2024-01-26,29000
2024-01-29,145000
2024-01-30,77000
2024-01-31,106000
2024-02-01,328000
2024-02-02,153000
2024-02-05,153000
2024-02-06,184000
2024-02-07,40000
2024-02-08,168000
2024-02-09,155000
2024-02-12,226000
2024-02-13,146000
2024-02-14,74000
2024-02-15,170000
2024-02-16,82000
2024-02-19,212000
2024-02-20,123000
2024-02-21,100000
2024-02-22,66000
2024-02-23,89000
2024-02-26,99000
2024-02-27,46000
2024-02-28,175000
2024-02-29,11000
2024-03-01,56000
2024-03-04,58000
2024-03-05,93000
2024-03-06,14000
2024-03-07,142000
2024-03-08,51000
2024-03-11,111000
2024-03-12,4000
2024-03-13,8000
2024-03-14,266000
2024-03-15,62000
2024-03-18,11000
2024-03-19,173000
2024-03-20,5000
2024-03-21,126000
2024-03-22,58000
2024-03-25,110000
2024-03-26,60000
2024-03-27,44000
2024-03-28,90000
2024-04-02,112000
2024-04-03,64000
2024-04-04,134000
2024-04-05,86000
2024-04-08,153000
2024-04-09,88000
2024-04-10,72000
2024-04-11,113000
2024-04-12,13000
2024-04-15,245000
2024-04-16,243000
2024-04-17,15000
2024-04-18,152000
2024-04-19,261000
2024-04-22,29000
2024-04-23,134000
2024-04-24,52000
